Name,Roll No,Department,Year,Email,Phone
Alia Kohli,IN001,Biotechnology,4th,tanyasubramaniam@hotmail.com,7715385472
Riaan Varkey,IN002,Biotechnology,1st,seher25@dyal.com,9869897412
Reyansh Sachar,IN003,Mechanical,2nd,tara54@wable.org,06828348761
Siya Kibe,IN004,IT,2nd,ivan39@hotmail.com,0153806627
Shaan Karnik,IN005,Electronics,1st,shraygoda@hotmail.com,02317987066
Manikya Kade,IN006,Mechanical,2nd,shlokdevan@sem-ramesh.org,1034904682
Ranbir Bhatt,IN007,Computer Science,2nd,ggola@wable.com,+911647042923
Pranay Desai,IN008,IT,3rd,reyanshkunda@saini.biz,0390877090
Tushar Contractor,IN009,IT,4th,eva19@wali.com,9148845875
Shanaya Datta,IN010,Computer Science,4th,abram93@yahoo.com,08068430707
Divij Chada,IN011,Electronics,4th,kandaeva@yahoo.com,07559769310
Jayesh Raj,IN012,Data Science,4th,goyalela@yahoo.com,02726888507
Zara Hari,IN013,IT,3rd,thamanvivaan@hayer.com,3643055234
Zeeshan Lad,IN014,Biotechnology,4th,stuvansrivastava@dhar-gade.com,1201624979
Mishti Shroff,IN015,Data Science,4th,kabirrege@agate.com,01248481743
Abram Dani,IN016,IT,1st,kartik45@gmail.com,8354106913
Romil Sagar,IN017,Biotechnology,2nd,armaan89@solanki.net,0218402616
Alisha Bakshi,IN018,Biotechnology,1st,himmatdhar@sant.org,03184679671
Ojas Choudhry,IN019,Computer Science,2nd,rohankuruvilla@yahoo.com,+913619987061
Parinaaz Varty,IN020,Biotechnology,1st,fsarma@sarraf.info,6682573052
Nirvi Kuruvilla,IN021,Electronics,3rd,ryandalal@chokshi.com,+915360193763
Adah Dugar,IN022,Mechanical,4th,survardaniya@yahoo.com,8120224677
Anahi Shankar,IN023,Computer Science,4th,nsastry@sule.com,08878039413
Rati Sabharwal,IN024,Mechanical,1st,eshani55@yahoo.com,07168780673
Gatik Majumdar,IN025,Biotechnology,1st,zaradani@yahoo.com,+913329005972
Diya Khatri,IN026,Civil,1st,pranay53@yahoo.com,+917007674821
Vedika Sharma,IN027,Electronics,4th,babuvivaan@badal-vasa.info,+916457946463
Krish Tara,IN028,IT,2nd,fatehloyal@hotmail.com,9265850449
Gatik Sen,IN029,Data Science,4th,xtalwar@kale.com,04292912569
Yuvraj  Sood,IN030,Electronics,4th,katadevansh@suri.com,04170382490
Miraya Sathe,IN031,Data Science,2nd,kvaidya@yahoo.com,09476300956
Nirvaan Yadav,IN032,Biotechnology,2nd,adiralanka@hotmail.com,9659949722
Jivin Gola,IN033,Data Science,1st,barmananahita@din.com,08305005509
Jiya Bedi,IN034,Data Science,2nd,surumang@yahoo.com,+911289214327
Nitya Basak,IN035,Computer Science,1st,piyaamble@gmail.com,02898185577
Kiaan Garg,IN036,Electronics,2nd,jivin34@mangat-lad.com,8998789786
Yashvi Chopra,IN037,Computer Science,2nd,yuvraj-dube@anand.net,03226492549
Pranay Jain,IN038,Computer Science,1st,mannazad@yahoo.com,+913049596587
Nayantara Roy,IN039,IT,3rd,varkeymishti@gmail.com,05467203408
Dharmajan Rattan,IN040,Biotechnology,1st,vivaanandra@hotmail.com,+917111220404
Ishaan Banik,IN041,Data Science,1st,dhingratushar@yahoo.com,+918805417896
Charvi Dara,IN042,Civil,1st,rluthra@salvi-bajwa.org,9641196357
Umang Bajaj,IN043,Civil,4th,vardaniyasur@saran.com,03414891401
Sana Walia,IN044,Biotechnology,2nd,bsolanki@gmail.com,7515707031
Pari Iyer,IN045,Civil,3rd,kiaan83@sharma.org,00094454295
Ivan Raj,IN046,IT,3rd,neysa26@dhingra-raja.biz,06483521253
Nayantara Varty,IN047,Civil,2nd,dbatta@gmail.com,+916071126059
Prerak Lall,IN048,Mechanical,4th,nirvijha@deshmukh.com,8410264603
Dharmajan Shere,IN049,Data Science,4th,advikmane@thaman.com,7885892746
Shayak Bandi,IN050,IT,4th,rbawa@sule.info,6969035025
Shaan Din,IN051,Computer Science,4th,ojasbhattacharyya@hotmail.com,+919333925429
Zain Kapadia,IN052,Computer Science,1st,nityadugal@kurian.com,+919507774600
Shanaya Kata,IN053,Civil,2nd,tusharchakrabarti@thakur.com,7438055388
Raghav Johal,IN054,Data Science,4th,anikacontractor@hotmail.com,+914068136195
Jayant Dara,IN055,Biotechnology,4th,ajaggi@kale.com,+918728557288
Advik Ram,IN056,Mechanical,1st,ayeshabose@ramaswamy.com,+913497443019
Hazel Dash,IN057,Civil,4th,sureshnitya@yahoo.com,+919536580015
Eva Ranganathan,IN058,Civil,2nd,aradhyaarya@gmail.com,+910757525184
Tushar Tara,IN059,Data Science,2nd,hiranroy@sawhney.com,+914837582452
Dharmajan Yohannan,IN060,Biotechnology,2nd,biju37@shankar.net,+919041304217
Raunak Kaur,IN061,Electronics,3rd,umane@gmail.com,9159636509
Tushar Sane,IN062,Mechanical,2nd,adiravig@gmail.com,8873642397
Ivan Chaudhry,IN063,Biotechnology,2nd,uthkarshkunda@gmail.com,+914845295503
Indrajit Chakrabarti,IN064,Computer Science,1st,vmane@yahoo.com,+910519210717
Ritvik Sengupta,IN065,Biotechnology,1st,sbadal@yahoo.com,+918661621234
Mohanlal Goyal,IN066,Computer Science,1st,tiwarianya@mani.com,07439263586
Biju Setty,IN067,Civil,4th,abram22@yahoo.com,+911361999188
Anahita Taneja,IN068,Data Science,3rd,elad@keer.com,09921215050
Diya Tandon,IN069,Data Science,3rd,khushi79@balan.com,06258241520
Tanya Brahmbhatt,IN070,Biotechnology,4th,reddyshanaya@hotmail.com,+910407473061
Dharmajan Walla,IN071,Electronics,4th,anyadash@yadav-bandi.com,02957744365
Purab Bajwa,IN072,Biotechnology,4th,hansh50@shere.com,03188028764
Shayak Karpe,IN073,Mechanical,1st,trishakohli@hotmail.com,08048872829
Sahil Aggarwal,IN074,Data Science,1st,ehsaanyohannan@gmail.com,02682005604
Khushi Karpe,IN075,Mechanical,4th,rajfarhan@sathe.org,+914109681986
Divit Shankar,IN076,Data Science,1st,acharyajiya@gmail.com,08597117789
Diya Barad,IN077,Computer Science,3rd,ldutta@hotmail.com,05622302263
Kismat Yadav,IN078,Civil,3rd,ahujaaarav@aggarwal.com,06676514432
Kimaya Jaggi,IN079,Electronics,1st,bhavin23@hotmail.com,+913018018320
Prisha Sarna,IN080,IT,1st,zaramagar@shenoy-bala.com,04129905413
Mamooty Mallick,IN081,Data Science,1st,nityachaudhari@hotmail.com,+910432433905
Aarav Bhatnagar,IN082,Biotechnology,1st,gkuruvilla@karnik-dalia.com,4979398519
Anaya Sahni,IN083,Electronics,1st,kkaur@hotmail.com,+916408923669
Raunak Datta,IN084,Mechanical,2nd,varkeyela@zacharia.org,06520118351
Taimur Gupta,IN085,IT,1st,pranaysodhi@gulati.com,03163152127
Ryan Agarwal,IN086,Computer Science,4th,gokhalegatik@yahoo.com,08260751479
Drishya Rau,IN087,Data Science,2nd,umang70@jain.com,03982004694
Taimur Choudhry,IN088,Mechanical,4th,rohansheth@gmail.com,07022800977
Jiya Basak,IN089,Biotechnology,1st,xkunda@hotmail.com,+914412698753
Tushar Gulati,IN090,Computer Science,4th,kabirsubramaniam@gmail.com,0463267188
Lagan Yohannan,IN091,IT,3rd,braja@yahoo.com,7804931099
Armaan Ramanathan,IN092,Mechanical,4th,divij04@sachdev.org,+914062546133
Gatik Khatri,IN093,Biotechnology,4th,drishyabhattacharyya@yahoo.com,+913178629683
Chirag Rajagopal,IN094,Mechanical,3rd,raghav31@sekhon-dass.biz,+919913752140
Taran Sharaf,IN095,Data Science,1st,ranganathanadvika@hotmail.com,2753125564
Trisha Date,IN096,Biotechnology,3rd,mohanlalsingh@jha.com,+916765353743
Reyansh Bhalla,IN097,Electronics,2nd,sana50@badami.com,6021125262
Prerak Arya,IN098,Biotechnology,4th,pmall@hotmail.com,+912116956823
Krish Bains,IN099,Computer Science,4th,indranilvarughese@hotmail.com,03517223820
Saanvi Kurian,IN100,Civil,3rd,vedika62@tata-toor.biz,+919888981950
Raghav Borra,IN101,Data Science,2nd,bhatiamanjari@barad.info,+912564276075
Heer Verma,IN102,Mechanical,2nd,dhanukshukla@yahoo.com,2429726263
Adah Ranganathan,IN103,IT,4th,sgera@hotmail.com,08307613917
Divij Bhalla,IN104,Civil,1st,surrohan@majumdar.com,9737312754
Diya Batra,IN105,Biotechnology,4th,aniruddh78@thakur.info,+918275207264
Alisha Sama,IN106,Civil,4th,wkrish@hotmail.com,+917965553394
Tiya Walla,IN107,IT,2nd,kulkarnikhushi@hotmail.com,+915051247198
Jhanvi Ganguly,IN108,Data Science,4th,ryankurian@venkataraman.com,00146859340
